name,span,matches,innings,overs,maiden_overs,runs_conceded,wickets,best_bowling_figure,average,economy_rate,bowling_strike_rate,four_wickets_haul,five_wickets_haul
AY Karim (KENYA),1996-2003,34,33,261.2,21,1114,27,5/33,41.25,4.26,58.0,0,1
AJ McKay (NZ),2010-2012,19,19,154.2,7,800,27,4/53,29.62,5.18,34.2,2,0
PJ Martin (ENG),1995-1998,20,20,174.4,9,806,27,4/44,29.85,4.61,38.8,1,0
RAP Nissanka (SL),2001-2003,23,23,166.1,6,857,27,4/12,31.74,5.15,36.9,1,0
RJ Ratnayake (SL),1990-1993,22,22,187.2,16,790,27,5/32,29.25,4.21,41.6,0,1
JA Richardson (AUS),2018-2022,15,15,135.0,11,793,27,4/26,29.37,5.87,30.0,1,0
JE Root (ENG),2013-2023,171,72,273.0,2,1587,27,3/52,58.77,5.81,60.6,0,0
PADLR Sandakan (SL),2016-2021,31,30,248.0,3,1539,27,4/52,57.00,6.20,55.1,1,0
MD Shanaka (SL),2016-2024,71,46,176.0,3,999,27,5/43,37.00,5.67,39.1,0,1
R Shepherd (WI),2019-2024,31,29,195.0,6,1083,27,3/37,40.11,5.55,43.3,0,0
JDF Vandersay (SL),2015-2024,22,20,153.0,6,849,27,4/10,31.44,5.54,34.0,1,0
PA van Meekeren (NED),2013-2023,22,22,171.2,8,987,27,4/23,36.55,5.76,38.0,1,0
DAJ Bracewell (NZ),2011-2022,21,21,169.2,18,845,26,4/55,32.50,4.99,39.0,1,0
Faheem Ashraf (PAK),2017-2023,34,33,232.2,9,1204,26,5/22,46.30,5.18,53.6,0,1
R Hekure (PNG),2019-2023,25,24,158.5,8,733,26,5/13,28.19,4.61,36.6,0,1
LN Onyango (KENYA),1996-2014,29,28,165.5,9,981,26,3/29,37.73,5.91,38.2,0,0
AM Phangiso (SA),2013-2016,21,21,180.5,6,829,26,3/40,31.88,4.58,41.7,0,0
N Pokana (PNG),2017-2022,21,21,164.5,12,762,26,3/25,29.30,4.62,38.0,0,0
AR Border (AUS),1990-1994,79,28,142.3,3,678,25,3/24,27.12,4.75,34.2,0,0
DN Crookes (SA),1994-2000,32,30,203.3,5,1011,25,3/30,40.44,4.96,48.8,0,0
GD Drummond (SCOT),2007-2013,30,29,210.3,22,932,25,4/41,37.28,4.42,50.5,1,0
CN Greaves (SCOT),2022-2024,25,21,106.5,2,576,25,5/53,23.04,5.39,25.6,1,1
Jasdeep Singh (USA),2019-2023,24,24,179.0,10,947,25,4/32,37.88,5.29,42.9,2,0
A Kuruvilla (IND),1997-1997,25,25,188.3,18,890,25,4/43,35.60,4.72,45.2,1,0
D Langford-Smith (IRE),2006-2008,22,21,157.0,12,797,25,3/32,31.88,5.07,37.6,0,0
SW Masakadza (ZIM),2010-2014,16,16,131.5,4,891,25,4/46,35.64,6.75,31.6,3,0
A Nao (PNG),2017-2023,26,26,191.2,10,972,25,4/27,38.88,5.08,45.9,1,0
A Ranatunga (SL),1990-1999,189,65,332.0,8,1546,25,2/21,61.84,4.65,79.6,0,0
BTJ Wheal (SCOT),2016-2024,14,14,123.3,10,559,25,3/34,22.36,4.52,29.6,0,0
AR White (IRE),2006-2014,61,35,144.5,4,688,25,4/44,27.52,4.75,34.7,1,0
Alok Kapali (BAN),2002-2011,69,49,242.0,8,1255,24,3/49,52.29,5.18,60.5,0,0
Arafat Sunny (BAN),2014-2015,16,16,138.2,8,600,24,4/27,25.00,4.33,34.5,2,0
ID Blackwell (ENG),2002-2006,34,26,205.0,8,877,24,3/26,36.54,4.27,51.2,0,0
TS Chisoro (ZIM),2015-2020,21,19,150.0,7,684,24,3/16,28.50,4.56,37.5,0,0
Harvinder Singh (IND),1997-2001,16,16,114.2,6,609,24,3/44,25.37,5.32,28.5,0,0
Imran Khan (PAK),1990-1992,39,37,283.2,16,1168,24,3/15,48.66,4.12,70.8,0,0
RC Irani (ENG),1996-2003,31,30,213.5,5,989,24,5/26,41.20,4.62,53.4,1,1
MBS Jonkman (NED),2006-2010,16,16,119.5,12,565,24,3/24,23.54,4.71,29.9,0,0
C Karunaratne (SL),2021-2023,26,23,132.5,4,765,24,4/43,31.87,5.75,33.2,1,0
Kushal Malla (NEP),2020-2024,36,30,177.1,11,785,24,2/6,32.70,4.43,44.2,0,0
Manjural Islam (BAN),1999-2003,34,34,265.1,24,1284,24,3/37,53.50,4.84,66.2,0,0
B McMullen (SCOT),2022-2024,18,15,113.0,9,479,24,5/34,19.95,4.23,28.2,0,1
Nasir Hossain (BAN),2011-2018,65,43,209.2,4,988,24,3/26,41.16,4.71,52.3,0,0
MS Panesar (ENG),2007-2007,26,26,218.0,10,980,24,3/25,40.83,4.49,54.5,0,0
SR Patel (ENG),2008-2013,36,32,197.5,4,1091,24,5/41,45.45,5.51,49.4,0,1
KR Pushpakumara (SL),1994-1999,31,31,238.2,12,1181,24,3/25,49.20,4.95,59.5,0,0
GC Small (ENG),1990-1992,22,22,179.0,17,778,24,3/29,32.41,4.34,44.7,0,0
Yasir Shah (PAK),2011-2019,25,24,215.3,4,1150,24,6/26,47.91,5.33,53.8,1,1
Aizaz Cheema (PAK),2011-2012,14,14,109.4,3,593,23,4/43,25.78,5.40,28.6,2,0
KM Dabengwa (ZIM),2005-2010,37,35,184.5,2,936,23,3/15,40.69,5.06,48.2,0,0
Fareed Ahmad (AFG),2014-2024,17,16,115.0,5,649,23,3/56,28.21,5.64,30.0,0,0
G Goudie (SCOT),2008-2013,16,16,121.3,8,623,23,5/73,27.08,5.12,31.6,0,1
AP Gurusinha (SL),1990-1996,110,46,221.4,7,1107,23,2/25,48.13,4.99,57.8,0,0
KAD Hurdle (BER),2006-2007,19,19,150.5,7,831,23,3/24,36.13,5.50,39.3,0,0
Manjural Islam Rana (BAN),2003-2006,25,23,166.0,9,689,23,4/34,29.95,4.15,43.3,2,0
S Mukuddem (BER),2006-2007,20,20,160.0,16,752,23,4/40,32.69,4.70,41.7,1,0
CAH Stevenson (USA),2019-2022,18,17,115.3,5,642,23,3/22,27.91,5.55,30.1,0,0
DN Wellalage (SL),2022-2024,21,20,148.2,2,793,23,5/40,34.47,5.34,38.6,0,1
Al-Amin Hossain (BAN),2014-2020,15,15,110.3,7,608,22,4/51,27.63,5.50,30.1,2,0
DR Brown (ENG/SCOT),1997-2007,25,25,158.5,6,919,22,3/37,41.77,5.78,43.3,0,0
Ebadot Hossain (BAN),2022-2023,12,11,90.0,4,504,22,4/42,22.90,5.60,24.5,2,0
Farhad Reza (BAN),2006-2011,34,32,189.5,12,1017,22,5/42,46.22,5.35,51.7,0,1
DAS Gunaratne (SL),2016-2019,31,25,139.0,3,723,22,3/10,32.86,5.20,37.9,0,0
BP Julian (AUS),1993-1999,25,25,191.0,11,997,22,3/40,45.31,5.21,52.0,0,0
RN Lewis (WI),1997-2009,28,25,191.4,2,983,22,3/43,44.68,5.12,52.2,0,0
MD Marshall (WI),1990-1992,27,25,221.0,19,922,22,4/18,41.90,4.17,60.2,1,0
KV Morea (PNG),2021-2023,17,17,122.0,7,575,22,5/28,26.13,4.71,33.2,0,1
G Motie (WI),2022-2024,13,13,110.1,5,436,22,4/23,19.81,3.95,30.0,1,0
Naveen-ul-Haq (AFG),2016-2023,15,15,115.1,2,708,22,4/42,32.18,6.14,31.4,1,0
ML Nkala (ZIM),1998-2006,50,46,263.4,8,1570,22,3/12,71.36,5.95,71.9,0,0
E Otieno (KENYA),2007-2014,26,25,159.0,6,927,22,4/33,42.13,5.83,43.3,1,0
MW Pringle (SA),1992-1994,17,17,145.0,12,604,22,4/11,27.45,4.16,39.5,1,0
Sohag Gazi (BAN),2012-2014,20,19,153.1,12,722,22,4/29,32.81,4.71,41.7,1,0
WF Stelling (NED),2006-2007,15,15,116.3,12,567,22,3/12,25.77,4.86,31.7,0,0
AC Agar (AUS),2015-2023,22,22,183.0,4,958,21,2/31,45.61,5.23,52.2,0,0
JT Ball (ENG),2016-2018,18,18,157.5,5,980,21,5/51,46.66,6.20,45.0,0,1
DH Brain (ZIM),1992-1995,23,23,181.5,14,849,21,3/51,40.42,4.66,51.9,0,0
AC Dawson (SA),1998-2004,19,19,150.1,11,715,21,4/49,34.04,4.76,42.9,1,0
RMS Eranga (SL),2011-2016,19,17,119.2,4,686,21,3/46,32.66,5.74,34.0,0,0
CN Evans (ZIM),1992-2002,53,34,160.4,4,848,21,3/11,40.38,5.27,45.9,0,0
Gulsan Jha (NEP),2021-2024,27,25,120.3,2,760,21,3/28,36.19,6.30,34.4,0,0
M Hayward (SA),1998-2002,21,21,165.3,5,858,21,4/31,40.85,5.18,47.2,1,0
GI Hume (IRE),2022-2024,15,15,107.3,4,580,21,4/34,27.61,5.39,30.7,2,0
NB Mahwire (ZIM),2004-2006,23,21,147.3,12,775,21,3/29,36.90,5.25,42.1,0,0
PP Ojha (IND),2008-2012,18,17,146.0,5,652,21,4/38,31.04,4.46,41.7,1,0
DR Pringle (ENG),1990-1993,19,19,163.4,27,643,21,4/42,30.61,3.92,46.7,1,0
AO Suji (KENYA),1996-2008,60,46,215.5,12,1175,21,2/14,55.95,5.44,61.6,0,0
MH Yardy (ENG),2006-2011,28,28,222.0,7,1075,21,3/24,51.19,4.84,63.4,0,0
Kabir Ali (ENG),2003-2006,14,13,112.1,4,682,20,4/45,34.10,6.08,33.6,1,0
Aqib Ilyas (OMA),2019-2023,25,23,122.0,4,552,20,4/36,27.60,4.52,36.6,1,0
STR Binny (IND),2014-2015,14,12,81.4,4,439,20,6/4,21.95,5.37,24.5,0,1
DT Christian (AUS),2012-2021,20,19,121.1,4,595,20,5/31,29.75,4.91,36.3,0,1
A Jadeja (IND),1992-2000,196,52,208.0,2,1094,20,3/3,54.70,5.25,62.4,0,0
RT Lyons (SCOT),2006-2010,25,23,182.1,10,901,20,3/21,45.05,4.94,54.6,0,0
N Madziva (ZIM),2014-2016,12,12,86.4,2,519,20,4/49,25.95,5.98,26.0,1,0
JO Ngoche (KENYA),2010-2013,17,17,146.2,13,569,20,3/18,28.45,3.88,43.9,0,0
NO Perry (WI),1999-2000,21,21,157.4,2,783,20,3/45,39.15,4.96,47.3,0,0
DA Reeve (ENG),1991-1996,29,28,191.1,15,820,20,3/20,41.00,4.28,57.3,0,0
RJ Shastri (IND),1990-1992,31,25,184.5,6,783,20,5/15,39.15,4.23,55.4,0,1
RML Taylor (SCOT),2013-2016,15,15,118.5,5,617,20,3/39,30.85,5.19,35.6,0,0
RP Burl (ZIM),2017-2024,52,33,121.4,2,766,19,5/10,40.31,6.29,38.4,1,1
Enamul Haque (BAN),1990-2002,29,28,206.2,3,1083,19,2/40,57.00,5.24,65.1,0,0
IG Holland (USA),2019-2022,15,14,104.4,6,466,19,3/11,24.52,4.45,33.0,0,0
DS Kulkarni (IND),2014-2016,12,12,99.4,5,508,19,4/34,26.73,5.09,31.4,1,0
Mohammad Akram (PAK),1995-2000,23,21,164.5,6,790,19,2/28,41.57,4.79,52.0,0,0
Mohammad Nadeem (OMA),2019-2023,34,26,135.2,4,753,19,3/43,39.63,5.56,42.7,0,0
Mushfiqur Rahman (BAN),2000-2004,28,28,222.0,18,983,19,2/21,51.73,4.42,70.1,0,0
PDRL Perera (SL),1999-2007,19,19,148.0,11,820,19,3/23,43.15,5.54,46.7,0,0
Shahid Nazir (PAK),1996-2000,17,17,135.0,6,649,19,3/14,34.15,4.80,42.6,0,0
M Sheikh (KENYA),1997-2000,21,21,129.4,1,625,19,4/36,32.89,4.82,40.9,1,0
Sohail Khan (PAK),2008-2016,13,13,111.0,4,597,19,5/55,31.42,5.37,35.0,0,1
Tanwir Afzal (HKG),2014-2018,20,19,142.0,14,601,19,3/20,31.63,4.23,44.8,0,0
PCR Tufnell (ENG),1990-1997,20,20,170.0,12,699,19,4/22,36.78,4.11,53.6,1,0
SD Anurasiri (SL),1990-1994,21,21,176.0,5,729,18,3/41,40.50,4.14,58.6,0,0
Anwar Ali (PAK),2013-2016,22,22,154.3,1,944,18,3/66,52.44,6.11,51.5,0,0
Azmatullah Omarzai (AFG),2021-2024,27,27,144.4,3,824,18,3/56,45.77,5.69,48.2,0,0
MD Dai (PNG),2014-2018,18,18,159.0,6,675,18,3/58,37.50,4.24,53.0,0,0
JOA Gordon (CAN),2012-2023,10,10,75.2,4,393,18,6/43,21.83,5.21,25.1,0,1
C Green (AUS),2020-2024,26,23,125.4,0,714,18,5/33,39.66,5.68,41.8,0,1
TM Head (AUS),2016-2024,65,37,175.3,0,999,18,2/21,55.50,5.69,58.5,0,0
DJ Hussey (AUS),2008-2013,69,39,133.4,1,698,18,4/21,38.77,5.22,44.5,2,0
PW Jarvis (ENG),1993-1993,11,11,98.4,4,485,18,5/35,26.94,4.91,32.8,0,1
AP Kuiper (SA),1991-1996,25,19,98.0,0,518,18,3/33,28.77,5.28,32.6,0,0
J Lewis (ENG),2005-2007,13,13,119.2,13,500,18,4/36,27.77,4.18,39.7,1,0
AK Markram (SA),2017-2023,68,30,146.5,1,833,18,2/18,46.27,5.67,48.9,0,0
CS Martin (NZ),2001-2008,20,19,158.0,14,804,18,3/62,44.66,5.08,52.6,0,0
Mohammad Ashraful (Asia/BAN),2001-2013,177,40,116.1,4,661,18,3/26,36.72,5.69,38.7,0,0
MV Nagamootoo (WI),2000-2002,24,24,198.1,4,998,18,4/32,55.44,5.03,66.0,1,0
Rahat Ali (PAK),2012-2016,14,14,113.1,1,658,18,3/40,36.55,5.81,37.7,0,0
R Ravindra (NZ),2023-2023,25,20,139.1,1,839,18,4/60,46.61,6.02,46.3,1,0
KT Sandher (CAN),2006-2007,15,15,116.0,5,569,18,3/24,31.61,4.90,38.6,0,0
GC Smith (Afr/SA),2002-2013,197,43,171.0,0,951,18,3/30,52.83,5.56,57.0,0,0
I Udana (SL),2012-2021,21,21,151.3,2,950,18,3/82,52.77,6.27,50.5,0,0
Washington Sundar (IND),2017-2023,19,16,106.0,2,521,18,3/30,28.94,4.91,35.3,0,0
AG Wharf (ENG),2004-2005,13,13,97.2,10,428,18,4/24,23.77,4.39,32.4,1,0
LR Williams (WI),1996-2001,15,15,109.5,2,556,18,3/16,30.88,5.06,36.6,0,0
Adeel Raja (NED),2002-2011,21,21,141.0,6,690,17,4/42,40.58,4.89,49.7,1,0
GD Campbell (AUS),1990-1990,10,10,82.1,5,314,17,3/17,18.47,3.82,29.0,0,0
MV Fleming (ENG),1997-1998,11,11,87.1,3,434,17,4/45,25.52,4.97,30.7,1,0
MG Hughes (AUS),1990-1993,18,18,153.5,17,608,17,3/33,35.76,3.95,54.2,0,0
HH Kanitkar (IND),1997-2000,34,28,167.4,4,803,17,2/22,47.23,4.78,59.1,0,0
JJC Lawson (WI),2001-2005,13,12,93.0,5,498,17,4/57,29.29,5.35,32.8,1,0
LS Livingstone (ENG),2021-2023,25,19,94.2,2,523,17,3/16,30.76,5.54,33.2,0,0
Mosaddek Hossain (BAN),2016-2022,43,41,188.2,2,969,17,3/13,57.00,5.14,66.4,0,0
J Nyumbu (ZIM),2014-2015,19,18,140.4,3,738,17,3/42,43.41,5.24,49.6,0,0
M Pathirana (SL),2023-2023,12,12,84.4,2,616,17,4/32,36.23,7.27,29.8,1,0
A Shahzad (ENG),2010-2011,11,11,98.0,5,490,17,3/41,28.82,5.00,34.5,0,0
PM Siddle (AUS),2009-2019,20,19,150.1,10,743,17,3/55,43.70,4.94,53.0,0,0
Aizaz Khan (HKG),2014-2018,19,19,121.2,2,680,16,2/26,42.50,5.60,45.5,0,0
JP Behrendorff (AUS),2019-2022,12,12,107.3,7,568,16,5/44,35.50,5.28,40.3,0,1
SM Boland (AUS),2016-2016,14,13,119.2,3,725,16,3/67,45.31,6.07,44.7,0,0
DL Chahar (IND),2018-2022,13,12,85.0,5,489,16,3/27,30.56,5.75,31.8,0,0
GR Codrington (CAN),2006-2007,17,17,121.5,9,577,16,4/33,36.06,4.73,45.6,1,0
CD de Lange (SCOT),2016-2017,13,12,91.0,4,371,16,5/60,23.18,4.07,34.1,0,1
AIC Dodemaide (AUS),1992-1993,12,12,112.0,19,393,16,4/20,24.56,3.50,42.0,1,0
Ehsan Nawaz (HKG),2014-2018,12,12,85.3,3,458,16,4/47,28.62,5.35,32.0,2,0
PJC Hoffmann (SCOT),2006-2007,18,17,123.5,5,555,16,3/22,34.68,4.48,46.4,0,0
Iftikhar Ahmed (PAK),2015-2023,28,22,132.4,4,742,16,5/40,46.37,5.59,49.7,0,1
Kashif Daud (UAE),2021-2022,19,19,110.3,10,482,16,3/41,30.12,4.36,41.4,0,0
JN Loftie-Eaton (NAM),2021-2024,36,20,76.5,4,375,16,4/34,23.43,4.88,28.8,1,0
DE Malcolm (ENG),1990-1994,10,10,87.4,8,404,16,3/40,25.25,4.60,32.8,0,0
S Matsikenyeri (ZIM),2002-2015,113,38,153.2,2,778,16,2/25,48.62,5.07,57.5,0,0
JL Pattinson (AUS),2011-2015,15,15,121.1,6,681,16,4/51,42.56,5.62,45.4,1,0
Saad Bin Zafar (CAN),2023-2024,12,12,110.0,3,486,16,3/43,30.37,4.41,41.2,0,0
RR Sarwan (WI),2000-2013,181,25,96.5,3,586,16,3/31,36.62,6.05,36.3,0,0
B Shikongo (NAM),2020-2023,14,14,87.0,6,540,16,3/42,33.75,6.20,32.6,0,0
MC Sorensen (IRE),2013-2016,13,12,90.3,4,520,16,4/40,32.50,5.74,33.9,1,0
BM Tickner (NZ),2022-2023,13,13,103.5,4,679,16,4/50,42.43,6.53,38.9,1,0
RJ Trott (BER),2007-2009,11,11,89.3,0,412,16,4/46,25.75,4.60,33.5,1,0
MP Vaughan (ENG),2001-2007,86,28,132.4,2,649,16,4/22,40.56,4.89,49.7,1,0
R Vijay Bharadwaj (IND),1999-2002,10,9,62.0,3,307,16,3/34,19.18,4.95,23.2,0,0
KK Ahmed (IND),2018-2019,11,11,80.0,2,465,15,3/13,31.00,5.81,32.0,0,0
S Bhari (NEP),2020-2022,11,11,70.2,5,273,15,4/5,18.20,3.88,28.1,1,0
DCC Borden (BER),2006-2008,12,12,68.3,0,392,15,4/30,26.13,5.72,27.4,1,0
MG Bracewell (NZ),2022-2023,19,19,123.0,4,634,15,3/21,42.26,5.15,49.2,0,0
BA Carse (ENG),2021-2023,14,13,97.4,0,582,15,5/61,38.80,5.95,39.0,0,1
Danish Kaneria (PAK),2001-2007,18,18,142.2,11,683,15,3/31,45.53,4.79,56.9,0,0
TCB Fernando (SL),2001-2003,17,17,116.4,7,586,15,5/67,39.06,5.02,46.6,0,1
NC McGarrell (WI),1998-2001,17,17,143.1,2,681,15,3/32,45.40,4.75,57.2,0,0
SSB Magala (SA),2021-2023,8,7,57.0,4,381,15,5/43,25.40,6.68,22.8,0,1
GH O'Brien (BER),2006-2008,9,9,76.0,3,405,15,3/31,27.00,5.32,30.4,0,0
SS Pathirana (SL),2015-2017,18,18,127.3,2,720,15,3/37,48.00,5.64,51.0,0,0
Rahmat Shah (AFG),2013-2024,111,29,90.3,2,532,15,5/32,35.46,5.87,36.2,0,1
Rajin Saleh (BAN),2003-2006,43,19,89.5,1,459,15,4/16,30.60,5.10,35.9,1,0
BA Reid (AUS),1990-1992,20,20,176.4,21,644,15,2/18,42.93,3.64,70.6,0,0
HB Shipley (NZ),2023-2023,8,8,64.3,4,359,15,5/31,23.93,5.56,25.8,0,1
Soumya Sarkar (BAN),2014-2024,69,24,89.0,1,525,15,3/18,35.00,5.89,35.6,0,0
CT Tremlett (ENG),2005-2011,15,15,130.4,2,705,15,4/32,47.00,5.39,52.2,1,0
Usama Mir (PAK),2023-2023,12,12,106.0,0,634,15,4/43,42.26,5.98,42.4,1,0
JTC Vaughan (NZ),1992-1996,18,17,116.0,7,524,15,4/33,34.93,4.51,46.4,1,0
UWMBCA Welegedara (SL),2009-2010,10,9,76.1,5,433,15,5/66,28.86,5.68,30.4,0,1
D Wiese (NAM/SA),2015-2022,15,15,122.5,3,686,15,3/50,45.73,5.58,49.1,0,0
LJ Wright (ENG),2007-2014,50,37,173.0,2,884,15,2/34,58.93,5.10,69.2,0,0
HN Ya France (NAM),2019-2023,25,24,144.1,6,661,15,2/27,44.06,4.58,57.6,0,0
JO Angara (KENYA),1997-2003,17,15,98.0,8,569,14,3/30,40.64,5.80,42.0,0,0
Anshuman Rath (HKG),2014-2018,18,7,56.1,8,167,14,3/22,11.92,2.97,24.0,0,0
F Behardien (SA),2013-2018,59,35,124.4,2,719,14,3/19,51.35,5.76,53.4,0,0
DE Bernard (WI),2003-2010,20,17,104.0,5,526,14,3/32,37.57,5.05,44.5,0,0
GS Blewett (AUS),1995-1999,32,24,124.5,3,646,14,2/6,46.14,5.17,53.5,0,0
S Chanderpaul (WI),1994-2011,268,28,123.2,0,636,14,3/18,45.42,5.15,52.8,0,0
TLW Cooper (NED),2010-2023,32,23,108.1,5,516,14,3/11,36.85,4.77,46.3,0,0
JWM Dalrymple (ENG),2006-2007,27,23,140.0,2,666,14,2/5,47.57,4.75,60.0,0,0
Enamul Haque jnr (BAN),2005-2009,10,10,96.0,3,422,14,3/16,30.14,4.39,41.1,0,0
UC Hathurusingha (SL),1992-1999,35,25,159.0,9,709,14,4/57,50.64,4.45,68.1,1,0
EE Hemmings (ENG),1990-1991,15,14,140.0,6,597,14,3/31,42.64,4.26,60.0,0,0
KA Jamieson (NZ),2020-2023,13,12,100.4,9,511,14,3/45,36.50,5.07,43.1,0,0
SKW Kelly (BER),2006-2009,10,10,64.5,3,371,14,3/36,26.50,5.72,27.7,0,0
Mahedi Hasan (BAN),2021-2023,11,11,88.0,2,436,14,4/71,31.14,4.95,37.7,1,0
S Mahmood (ENG),2020-2023,8,8,69.5,5,320,14,4/42,22.85,4.58,29.9,1,0
GRJ Matthews (AUS),1990-1993,13,12,103.5,2,449,14,3/54,32.07,4.32,44.5,0,0
KR Mayers (WI),2021-2023,28,23,114.2,3,632,14,2/30,45.14,5.52,49.0,0,0
D Mongia (IND),2001-2007,57,21,106.4,1,571,14,3/31,40.78,5.35,45.7,0,0
A Neill (SCOT),2019-2023,9,9,71.5,2,342,14,3/32,24.42,4.76,30.7,0,0
JD Nel (SCOT),2006-2010,19,19,121.4,10,649,14,4/25,46.35,5.33,52.1,1,0
IE O'Brien (NZ),2008-2009,10,10,75.3,3,488,14,3/68,34.85,6.46,32.3,0,0
Rumman Raees (PAK),2017-2018,9,9,77.1,2,464,14,3/49,33.14,6.01,33.0,0,0
Shariz Ahmad (NED),2022-2024,14,13,77.4,2,478,14,5/43,34.14,6.15,33.2,0,1
Sohrawordi Shuvo (BAN),2010-2011,17,17,127.0,7,572,14,3/14,40.85,4.50,54.4,0,0
H Thaker (CAN),2023-2024,12,12,99.1,4,413,14,3/41,29.50,4.16,42.5,0,0
MP Bicknell (ENG),1990-1991,7,7,68.5,3,347,13,3/55,26.69,5.04,31.7,0,0
Y Cariah (WI),2022-2023,14,14,99.3,1,622,13,2/26,47.84,6.25,45.9,0,0
PC Connell (IRE),2008-2010,13,12,94.0,5,518,13,3/68,39.84,5.51,43.3,0,0
B Evans (ZIM),2022-2023,15,14,87.2,5,521,13,5/54,40.07,5.96,40.3,0,1
K Gore (USA),2019-2021,16,16,92.0,9,406,13,4/20,31.23,4.41,42.4,1,0
MN Hart (NZ),1994-2002,13,12,95.2,5,373,13,5/22,28.69,3.91,44.0,0,1
RS Higgins (ZIM),2006-2006,11,11,90.4,6,380,13,4/21,29.23,4.19,41.8,1,0
Kaleem Sana (CAN),2023-2024,8,8,67.2,9,290,13,4/42,22.30,4.30,31.0,1,0
W Madhevere (ZIM),2020-2023,36,28,134.2,1,683,13,3/36,52.53,5.08,62.0,0,0
AD Mascarenhas (ENG),2007-2009,20,20,137.0,6,634,13,3/23,48.76,4.62,63.2,0,0
Minhajul Abedin (BAN),1990-1999,22,16,88.0,3,490,13,2/39,37.69,5.56,40.6,0,0
DJ Mitchell (NZ),2021-2023,39,14,48.3,1,275,13,3/25,21.15,5.67,22.3,0,0
Mohammad Hussain (PAK),1997-1998,14,13,112.0,2,547,13,4/33,42.07,4.88,51.6,1,0
ASA Perera (SL),1998-2001,20,18,96.3,2,522,13,2/25,40.15,5.40,44.5,0,0
MDK Perera (SL),2007-2018,13,10,76.0,2,409,13,3/48,31.46,5.38,35.0,0,0
Pramod Madushan (SL),2022-2024,9,9,60.2,1,426,13,4/75,32.76,7.06,27.8,1,0
DJ Reekers (NED),2006-2009,19,13,85.0,5,436,13,3/54,33.53,5.12,39.2,0,0
JB Reva (PNG),2016-2018,9,9,67.3,1,357,13,3/40,27.46,5.28,31.1,0,0
MJG Rippon (NED),2013-2022,9,9,67.0,4,299,13,4/37,23.00,4.46,30.9,1,0
Sharafuddin Ashraf (AFG),2014-2024,20,20,147.2,4,652,13,3/29,50.15,4.42,68.0,0,0
JN Snape (ENG),2001-2002,10,10,88.1,2,403,13,3/43,31.00,4.57,40.6,0,0
Tareq Aziz (BAN),2002-2004,10,10,77.3,7,424,13,3/19,32.61,5.47,35.7,0,0
S Thuraisingam (CAN),2003-2008,10,10,70.1,5,305,13,4/35,23.46,4.34,32.3,1,0
JJ Tucker (BER),2006-2009,26,21,136.3,4,701,13,2/23,53.92,5.13,63.0,0,0
Umran Malik (IND),2022-2023,10,9,61.0,2,399,13,3/57,30.69,6.54,28.1,0,0
JJ van der Wath (SA),2006-2007,10,10,87.4,2,551,13,2/21,42.38,6.28,40.4,0,0
P Wilson (AUS),1997-1998,11,11,93.4,6,450,13,3/39,34.61,4.80,43.2,0,0
Aftab Ahmed (BAN),2004-2010,85,30,123.1,0,656,12,5/31,54.66,5.32,61.5,0,1
Ahsan Malik (NED),2011-2014,12,11,78.3,1,408,12,3/38,34.00,5.19,39.2,0,0
WD Balaji Rao (CAN),2008-2011,10,10,79.0,1,448,12,4/57,37.33,5.67,39.5,1,0
HR Bryan (WI),1999-1999,15,15,120.2,5,518,12,4/24,43.16,4.30,60.1,1,0
ADR Campbell (ZIM),1992-2003,188,30,84.5,3,434,12,2/20,36.16,5.11,42.4,0,0
PA Desai (CAN),2010-2014,13,13,102.0,8,485,12,3/35,40.41,4.75,51.0,0,0
AB Dinda (IND),2010-2013,13,13,99.0,2,612,12,2/44,51.00,6.18,49.5,0,0
H Durham (BER),2006-2006,9,8,66.4,1,343,12,4/45,28.58,5.14,33.3,1,0
AM Ellis (NZ),2012-2013,15,13,80.0,3,425,12,2/22,35.41,5.31,40.0,0,0
AM Guruge (UAE),2014-2015,7,7,58.3,2,337,12,4/56,28.08,5.76,29.2,1,0
PA Hitchcock (NZ),2002-2008,14,12,93.0,5,468,12,3/30,39.00,5.03,46.5,0,0
Kabir Khan (PAK),1994-2000,10,9,61.5,4,303,12,2/23,25.25,4.90,30.9,0,0
TP Kamungozi (ZIM),2006-2015,14,13,106.0,1,548,12,2/36,45.66,5.16,53.0,0,0
Khurram Khan (UAE),2004-2015,16,11,83.0,1,432,12,4/32,36.00,5.20,41.5,1,0
R Klein (NED),2022-2023,13,13,102.3,6,521,12,2/31,43.41,5.08,51.2,0,0
RK Kleinveldt (SA),2013-2013,10,10,85.3,6,448,12,4/22,37.33,5.23,42.7,1,0
GF Labrooy (SL),1990-1992,14,14,119.1,4,640,12,2/40,53.33,5.37,59.5,0,0
GA Lamb (ZIM),2010-2011,15,15,107.0,3,467,12,3/45,38.91,4.36,53.5,0,0
SG Law (AUS),1994-1999,54,25,134.3,3,635,12,2/22,52.91,4.72,67.2,0,0
DR Martyn (AUS),1992-2006,208,31,132.2,2,704,12,2/21,58.66,5.31,66.1,0,0
SF Mire (ZIM),2014-2019,47,19,84.3,1,515,12,4/43,42.91,6.09,42.2,1,0
Mohammad Hasnain (PAK),2019-2023,9,9,77.1,5,497,12,5/26,41.41,6.44,38.5,0,1
